Row_Field,Col_Field,Family,ID,Larg_Leaf_Len_Bolt,Larg_Leaf_Wid_Bolt,GM_StemHeight_Bolt,GM_Leaf_Number_Bolt,Sampler,Maple_Died
2,1,vrc,483,,,,,Nikita,
2,1,jwb,251,,,,,Nikita,
2,1,jar,182,,,,,Nikita,
2,1,cwr,92,,,,,Nikita,
2,1,jar,173,26,25,115,13,Nikita,
2,1,mhb,340,16,14,73,9,Nikita,
2,1,mhb,349,29,27,59,14,Nikita,
2,1,vrc,487,12,16,41,7,Nikita,
2,1,nsr,i144,8,7,22,6,Nikita,
3,1,jar,187,,,,,Nikita,
3,1,vsg,542,,,,,Nikita,
3,1,seb,i145,42,45,120,38,Nikita,
3,1,vsg,540,,,,,Nikita,
3,1,dvg,113,12,14,116,9,Nikita,
3,1,sma,445,8,5,45,5,Nikita,
3,1,mhb,354,14,15,35,11,Nikita,
3,1,mhb,338,,,,,Nikita,
3,1,cwr,95,20,15,123,12,Nikita,
3,1,jar,169,,,,,Nikita,
3,2,jbb,200,5,2,5,2,Nikita,
3,2,dvg,110,,,,,Nikita,
3,2,cwr,90,20,18,56,6,Nikita,
3,2,smi,454,,,,,Nikita,
3,2,mav,333,,,,,Nikita,
3,2,mav,310,,,,,Nikita,
3,2,vrp,505,,,,,Nikita,
3,2,pdv,408,,,,,Nikita,
3,2,kve,288,,,,,Nikita,
3,2,mav,304,,,,,Nikita,
3,2,vsg,531,,,,,Nikita,
3,2,efc,153,,,,,Nikita,
3,3,jbc,245,9,12,17,10,Nikita,
3,3,vrc,497,13,13,63,7,Nikita,
3,3,jrf,i122,26,27,72,22,Nikita,
3,3,jar,181,,,,,Nikita,
3,3,wss,570,,,,,Nikita,
3,3,smi,460,,,,,Nikita,
3,3,jbb,216,1,1,14,1,Nikita,
3,3,mav,313,7,7,6,6,Nikita,
3,3,vsg,536,,,,,Nikita,
3,3,jbc,240,,,,,Nikita,
3,3,jar,185,,,,,Nikita,
3,3,jbb,219,,,,,Nikita,
3,4,smi,470,,,,,Nikita,
3,4,jar,167,,,,,Nikita,
3,4,smi,160,5,5,4,4,Nikita,
3,4,dvg,121,,,,,Nikita,
3,4,wss,566,,,,,Nikita,
3,4,jar,184,,,,,Nikita,
3,4,bwp,17,,,,,Nikita,
3,4,jbb,204,,,,,Nikita,
3,4,vrp,525,,,,,Nikita,
3,5,crs,71,,,,,Nikita,
3,5,cwr,101,7,5,28,3,Nikita,
3,5,jbb,205,,,,,Nikita,
3,5,msm,368,,,,,Nikita,
3,5,dg,109,,,,,Nikita,
3,5,vrc,503,,,,,Nikita,
3,5,mhb,341,,,,,Nikita,
3,5,vrp,512,18,17,70,10,Nikita,
3,5,sma,435,,,,,Nikita,
3,5,seb,i146,,,,,Nikita,
3,5,jar,165,,,,,Nikita,
3,5,jar,159,,,,,Nikita,
3,5,smi,462,,,,,Nikita,
3,5,seb,i150,,,,,Nikita,
3,6,dsg,i119,39,37,69,36,Nikita,
3,6,jar,186,,,,,Nikita,
3,6,mav,i310,,,,,Nikita,
3,6,pdv,420,,,,,Nikita,
3,6,cbm,i117,12,10,62,9,Nikita,
3,6,crs,68,7,5,8,4,Nikita,
3,6,rul,428,,,,,Nikita,
3,6,vrp,517,32,29,105,30,Nikita,
3,6,dvg,128,,,,,Nikita,
3,6,bwp,8,,,,,Nikita,
4,6,mav,320,,,,,Nikita,
4,6,jbc,247,,,,,Nikita,
4,6,dvg,103,20,19,153,14,Nikita,
4,6,jbb,209,,,,,Nikita,
4,6,dvg,108,17,12,100,9,Nikita,
4,6,wss,572,,,,,Nikita,
4,6,jbb,208,25,26,152,13,Nikita,
4,6,kve,299,9,16,58,14,Nikita,
4,6,kve,300,24,21,134,11,Nikita,
4,5,wss,564,,,,,Nikita,
4,5,jbb,195,24,24,119,7,Nikita,
4,5,jkf,i121,,,,,Nikita,
4,5,jbb,218,,,,,Nikita,
4,5,vrp,515,23,18,58,10,Nikita,
4,5,msm,396,23,18,150,17,Nikita,
4,5,vrp,509,27,18,90,20,Nikita,
4,5,cwr,28,31,31,87,10,Nikita,
4,5,bwp,20,26,31,56,15,Nikita,
4,5,vrc,484,23,20,146,15,Nikita,
4,5,crs,73,17,15,77,9,Nikita,
4,5,mhb,346,12,17,113,16,Nikita,
4,4,cwr,80,,,,,Nikita,
4,4,kve,287,,,,,Nikita,
4,4,dvg,132,31,35,83,32,Nikita,
4,4,cbm,39,,,,,Nikita,
4,4,jar,158,,,,,Nikita,
4,4,crs,50,,,,,Nikita,
4,4,dvg,111,,,,,Nikita,
4,4,drp,510,,,,,Nikita,
4,4,msm,366,29,25,199,20,Nikita,
4,4,bwp,18,18,14,90,6,Nikita,
4,4,vrp,521,8,12,9,3,Nikita,
4,4,crs,70,7,8,21,3,Nikita,
4,4,vrp,528,10,20,72,6,Nikita,
4,4,kve,273,14,12,50,8,Nikita,
4,3,kve,295,,,,,Nikita,
4,3,kve,302,,,,,Nikita,
4,3,jbc,241,,,,,Nikita,
4,3,wss,549,,,,,Nikita,
4,3,bwp,24,,,,,Nikita,
4,3,efc,146,,,,,Nikita,
4,3,pdv,401,,,,,Nikita,
4,3,efc,151,,,,,Nikita,
