Genotype,GM_Leaf_Number,GM_Leaf_Len,GM_Leaf_Wid,ThripsDam,WhiteFungDam,BlackPathDam
a§SMITH1-20§Q§450,leaf-1,length-77,width-74.png,12,0,0
e§MAVELK-1-20§N§i132,leaf-2,length-67,width-67.png,1,0,0
a§MAVELK-1-20§N§i126,leaf-1,length-40,width-39.png,2,0,0
e§VRCAN-1-40§Q§503,leaf-1,length-38,width-30.png,0,0,0
e§SMAKC1-B§N§446,leaf-2,length-62,width-60.png,3,0,0
d§CRSOSO-3-40§Q§66,leaf-2,length-70,width-70.png,9,0,3
e§WSSWM3-3-80§V§i163,leaf-3,length-76,width-80.png,0,1,0
a§BWPEM1-9-0§Q§2,leaf-2,length-73,width-76.png,10,0,0
b§JBBLB2-1-20§Q§205,leaf-1,length-60,width-64.png,0,1,0
d§MBSGF1-X1§N§i135,leaf-2,length-64,width-60.png,0,0,1
a§CWRIC2-X2§Q§83,leaf-1,length-46,width-38.png,0,0,1
a§SEBRN-1-20§N§i146,leaf-1,length-33,width-29.png,0,0,0
c§JBCHY1-1-50§Q§230,leaf-2,length-68,width-69.png,7,0,2
a§WSSWM3-1-0§Q§551,leaf-2,length-52,width-52.png,8,0,0
c§VRPET2-3-20§Q§518,leaf-2,length-70,width-74.png,10,0,0
b|SEBRN-1-20|N|i151,leaf-2,length-80,width-77.png,6,0,4
c§DVGM-20§Q§115,leaf-2,length-59,width-63.png,8,0,2
d§MSMID1-1-20§Q§390,leaf-2,length-34,width-28.png,0,0,0
b§SMAKC1-B§N§438,leaf-1,length-34,width-26.png,0,0,0
c§WSSWM3-1-0§Q§567,leaf-2,length-61,width-57.png,4,0,0
e§MSMID1-1-20§Q§601,leaf-1,length-42,width-42.png,0,0,0
e§WSSWM3-1-0§Q§573,leaf-2,length-63,width-62.png,0,0,0
d§JBBLB2-1-20§Q§215,leaf-1,length-47,width-44.png,0,0,1
a§DVGM-20§Q§108,leaf-3,length-65,width-65.png,7,0,0
c§WSSWM3-1-0§Q§568,leaf-1,length-65,width-65.png,5,1,0
c§VRCAN-1-40§Q§495,leaf-2,length-75,width-72.png,0,0,1
b§SMITH1-20§Q§464,leaf-1,length-35,width-35.png,0,0,16
d§BWPEM1-9-0§Q§19,leaf-1,length-45,width-40.png,2,0,1
a§MAVBEL2-1-20§N§306,leaf-1,length-71,width-71.png,13,0,0
d§VRPET2-3-20§Q§526,leaf-2,length-57,width-58.png,14,0,1
a§JWBOY-2-80§Q§251,leaf-2,length-58,width-60.png,10,0,0
a§WSSWM3-1-0§Q§550,leaf-1,length-40,width-36.png,0,0,0
e§JARI1-1-80§Q§189,leaf-2,length-73,width-71.png,8,0,0
a§SMITH1-20§Q§457,leaf-2,length-64,width-64.png,0,0,0
e§MHNAT1-2-0§Q§363,leaf-1,length-52,width-45.png,0,0,4
d|CBMCK1-1-0|N|46,leaf-2,length-62,width-63.png,2,0,0
d§DVGM-20§Q§122,leaf-1,length-33,width-33.png,1,0,0
a§SMITH1-20§Q§453,leaf-2,length-55,width-47.png,3,0,2
d§CWRIC2-X2§Q§96,leaf-1,length-31,width-25.png,4,0,0
d§JWBOY-2-80§Q§259,leaf-1,length-32,width-37.png,6,0,1
e§JBBLB2-1-20§Q§219,leaf-1,length-42,width-40.png,0,0,4
a§WSSWM3-1-0§Q§558,leaf-1,length-46,width-34.png,0,0,1
c§DVGM-20§Q§117,leaf-2,length-72,width-73.png,1,0,0
a§CBMCK1-1-0§N§36,leaf-1,length-40,width-32.png,1,0,0
d§EFCC2-4-80§Q§153,leaf-2,length-63,width-75.png,10,1,0
b§VRCAN-1-40§Q§484,leaf-2,length-63,width-62.png,14,0,0
e§MHBUR1-4-20§Q§348,leaf-2,length-47,width-35.png,0,0,0
e§WSSWM3-1-0§Q§575,leaf-1,length-59,width-62.png,1,0,1
e§JBBLB2-1-20§Q§217,leaf-1,length-47,width-39.png,120,0,0
b§JBCHY1-1-50§Q§226,leaf-1,length-31,width-27.png,0,0,0
f§JBCHY1-1-50§Q§245,leaf-1,length-34,width-27.png,1,0,0
c§JWBOY-2-80§Q§252,leaf-1,length-40,width-32.png,0,0,0
d§KVEDG1-1-80§Q§295,leaf-2,length-67,width-73.png,2,0,0
 a§WSSWM3-1-0§Q§556,leaf-2,length-82,width-73.png,12,1,0
d§VRPET2-3-20§Q§527,leaf-1,length-53,width-53.png,1,0,0
a§CBMCK1-1-0§N§35,leaf-2,length-64,width-60.png,0,0,0
b§JBBLB2-1-20§Q§203,leaf-2,length-46,width-50.png,6,0,3
e§CRSOSO-3-40§Q§50,leaf-1,length-50,width-52.png,18,7,0
c§MSMID1-1-20§Q§381,leaf-1,length-42,width-39.png,8,0,0
d§MAVBEL2-1-20§N§321,leaf-2,length-75,width-82.png,40,0,0
a§MSMID1-1-20§Q§370,leaf-1,length-58,width-58.png,1,0,0
b§MAVBEL2-1-20§N§312,leaf-1,length-49,width-50.png,0,0,0
e§BWPEM1-9-0§Q§31,leaf-1,length-73,width-67.png,1,0,0
b§SMAKC1-B§N§439,leaf-2,length-34,width-25.png,0,0,0
b§MHBUR1-4-20§Q§343,leaf-1,length-33,width-36.png,0,0,0
a§MAVBEL2-1-20§N§304,leaf-2,length-36,width-40.png,0,0,0
c§CBMCK1-1-0§N§42,leaf-2,length-63,width-67.png,0,0,1
a§SMAKC1-B§N§432,leaf-1,length-56,width-50.png,1,0,3
a§KVEDG1-1-80§Q§277,leaf-1,length-63,width-68.png,0,0,0
d§JARI1-1-80§Q§183,leaf-1,length-41,width-40.png,0,0,1
a§SMAKC1-B§N§434,leaf-1,length-49,width-45.png,4,0,1
b§PDVRT1-20§Q§405,leaf-2,length-64,width-66.png,3,0,1
b§VRPET2-3-20§Q§516,leaf-2,length- 50,width-39.png,0,0,0
a§PDVRT1-20§Q§403,leaf-2,length-51,width-53.png,0,12,0
e§VRCAN-1-40§Q§504,leaf-2,length-49,width-56.png,1,0,0
e§JBBLB2-1-20§Q§221,leaf-1,length-36,width-25.png,0,0,0
b§CWRIC2-X2§Q§89,leaf-1,length-57,width-57.png,4,0,11
d§JBBLB2-1-20§Q§214,leaf-1,length-50,width-58.png,0,1,13
d§KVEDG1-1-80§Q§294,leaf-2,length-37,width-35.png,34,0,4
b§VRPET2-3-20§Q§509,leaf-1,length-35,width-35.png,0,0,1
d§JBBLB2-1-20§Q§213,leaf-2,length-60,width-62.png,10,0,3
