Tag,Mass,Maple,Together,BigBag,MapleBag,RegGM,BigGM
b§MAVBEL2/1/20§N§315,8.78,n,,n,,,
c§JBCHY1/1/50§Q§243,9.6,n,y,n,,,
c§JBCHY1/1/50§Q§243,6.41,y,y,n,,,
b§VRPET2/3/20§Q§512,13.08,n,,n,,,
d§CBMCK1/3/60§N§i116,9.97,n,,n,,,
e§MHNAT1/2/0§Q§365,9.21,n,,n,,,
c§JBCHY1/1/50§Q§232,15.36,n,y,n,,,
c§JBCHY1/1/50§Q§232,6.32,y,y,n,,,
d§MSMID1/1/20§Q§396,12.5,n,,n,,,
b§VRPET2/3/20§Q§515,11.92,n,,n,,,
c§JBCHY1/1/50§Q§231,8.68,n,y,n,,,
c§JBCHY1/1/50§Q§231,6.66,y,y,n,,,
c§KVEDG1/1/80§Q§286,9.36,n,,n,,,
d§VRPET2/3/20§Q§514,8.65,n,,n,,,
d§BWPEM1/9/0§Q§25,8.66,n,,n,,,
d§MHBUR1/4/20§Q§355,13.94,n,,n,,,
e§DVGM/20§Q§130,9.02,n,,n,,,
d§CRSOSO/3/40§Q§64,9.08,n,y,n,,,
d§CRSOSO/3/40§Q§64,6.61,y,y,n,,,
c§VRCAN/1/40§Q§497,10.23,n,y,n,,,
c§VRCAN/1/40§Q§497,6.52,y,y,n,,,
b§JKFRS1/6/0§V§i121,8.62,n,,n,,,
c§CWRIC2/X2§Q§93,9.58,n,,n,,,
c§SEBRN/1/20§N§i148,9.85,n,,n,,,
b§WSSWM3/3/80§V§i161,8.99,n,,n,,,
c§VSGARO1/1/0§Q§535,8.8,n,,n,,,
c§CWRIC2/X2§Q§90,11.77,n,,n,,,
a§VRPET2/3/20§Q§508,8.7,n,y,n,,,
a§VRPET2/3/20§Q§508,6.37,y,y,n,,,
c§JBCHY1/1/50§Q§225,9.56,n,,n,,,
d|NSRIB1-2-40|V|i144,8.76,n,,n,,,
b§MSMID1/1/20§Q§379,16.59,n,,n,,,
d§SMAKC1/B§N§445,9.58,n,y,n,,,
d§SMAKC1/B§N§445,6.53,y,y,n,,,
b§CRSOSO/3/40§Q§74,8.53,n,y,n,,,
b§CRSOSO/3/40§Q§74,6.36,y,y,n,,,
d§VRPET2/3/20§Q§530,13.51,n,,n,,,
e§JWBOY/2/80§Q§263,9.8,n,,n,,,
e§JARI1/1/80§Q§170,8.98,n,,n,,,
b§VRCAN/1/40§Q§481,12.76,n,,n,,,
