gh_bench,gh_col,gh_row,Tag,treatment,leaf_length,true_leaves,new _code_needed? ,INTRA,MAPLE,,,Helper/date
,,,,,,,,comp_number,maple_leaf length,maple_height,maple_#_leaves,Mia and Rich (with Caliper) 
3,6,5,b|CBMCK1-1-0|N|38,a,11,4,,,,,,May 17 1753
3,4,6,b|CWRIC2-X2|Q|89,m,10,3,,,33,65,2,May 17 1754
3,5,6,a|MAVBEL2-1-20|N|307,gm,10,3,,39,,,,May 17 1755
3,5,6,a|CWRIC2-X2|Q|81,gm,6,2,,39,,,,May 17 1756
3,6,6,b|MAVBEL2-1-20|N|310,gm,17,4,,34,,,,May 17 1757
3,6,6,a|VRPET2-3-20|Q|505,gm,9,3,,34,,,,May 17 1758
3,4,7,a|JARI1-1-80|Q|158,gm,9,2,,25,,,,May 17 1759
3,4,7,b|CBMCK1-1-0|N|39,gm,11,4,,25,,,,May 17 1760
3,5,7,a|MSMID1-1-20|Q|372,gm,11,2,y,87,,,,May 17 1761
3,5,7,b|CRSOSO-3-40|Q|72,gm,10,3,y,87,,,,May 17 1762
3,6,7,d|JBBLB2-1-20|Q|201,a,15,2,y,,,,,May 17 1763
3,4,8,c|KVEDG1-1-80|Q|288,m,12,2,y,,35,111,2,May 17 1764
3,5,8,e|DVGM-20|Q|132,a,13,4,y,,,,,May 17 1765
3,6,8,e|MAVBEL2-1-20|N|333,m,15,3,,,34,61,2,May 17 1766
3,4,9,c|MAVBEL2-1-20|N|319,gm,15,3,,36,,,,May 17 1767
3,4,9,d|DVGM-20|Q|120,gm,6,3,y,36,,,,May 17 1768
3,5,9,a|VSGARO1-1-0|Q|531,gm,19,3,,38,,,,May 17 1769
3,5,9,a|MAVBEL2-1-20|N|304,gm,15,3,y,38,,,,May 17 1770
3,6,9,c|BWPEM1-9-0|Q|12,m,11,2,y,,41,119,2,May 17 1771
3,4,10,a|CRSOSO-3-40|Q|55,a,13,3,,,,,,May 17 1772
3,6,10,d|MSMID1-1-20|Q|392,m,15,2,y,,42,105,2,May 17 1773
3,4,11,d|MBSGF1-X1|N|i135,a,11,3,,,,,,May 17 1774
3,5,11,c|JBCHY1-1-50|Q|232,m,7,2,y,,39,87,2,May 17 1775
3,6,11,c|SMITH1-1-0|Q|i157,a,11,2,,,,,,May 17 1776
3,4,12,a|SMITH1-1-0|Q|i155,a,13,2,,,,,,May 17 1777
3,6,12,d|CBMCK1-3-60|N|i116,a,10,3,y,,,,,May 17 1778
3,4,13,b|BWPEM1-9-0|Q|5,gm,16,2,,9,,,,May 17 1779
3,4,13,b|CBMCK1-1-0|N|37,gm,14,3,,9,,,,May 17 1780
3,5,13,c|BWPEM1-9-0|Q|14,m,16,2,,,41,67,2,May 17 1781
3,6,13,e|CBMCK1-1-0|N|49,m,0,0,,,50,77,2,May 17 1782
3,4,14,e|BWPEM1-9-0|Q|33,a,16,3,,,,,,May 17 1783
3,5,14,d|BWPEM1-9-0|Q|26,m,5,1,,,33,65,2,May 17 1784
3,6,14,a|MAVELK-1-20|N|i125,a,9,3,,,,,,May 17 1785
3,4,15,e|MAVELK-1-20|N|i128,a,8,3,y,,,,,May 17 1786
3,5,15,c|WSSWM3-1-0|Q|568,m,9,2,y,,60,72,2,May 17 1787
3,6,15,a|WSSWM3-1-0|Q|558,a,9,2,y,,,,,May 17 1788
