"","Tag","ChlorA","ChlorB","gluc_Conc","flav_Conc","Family","treatment","gh_row","gh_bench","GM_TotalLeaf_Area","comp_number","ThripsDam","WhiteFungDam","BlackPathDam","Fern","gh_col","GM_Leaf_Area","Latitude","Longitude","Altitude","GM_StemHeight_Bolt","GM_Leaf_Number_Bolt","Larg_Leaf_Len_Bolt","Larg_Leaf_Wid_Bolt","Row_Field","Col_Field","Maple_Died","Maple_TotalLeafArea_End","GM_Fecundity","MapleFinalMass","RGR1","NumberOfSamples","maple_height_0","maple_leaf_length_0","maple_leaves_0","Maple_StemHeight_End","Maple_LeafNum_End","MapleDamage","GreenhouseSurvival","WhiteFungLogis","Bolt_Survival","Maple_SurvivalY2","Maple_SurvivalY1","GM_Fecundity2","PCCG_1","PCCG_2","PC1BoltSize","GM_FecundityMS","PCCG_1_T","PCCG_2_T","GM_Fecundity2MS"
"32","a|JARI1-1-80|Q|162",NA,NA,NA,NA,"JARI1","gm",14,1,5999,23,NA,NA,NA,0,6,NA,41.48,-71.52,20.7,NA,NA,NA,NA,5,3,"",NA,NA,NA,1.06342541058603e-06,1,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0
"33","a|JARI1-1-80|Q|163",-1.84623556532143,0.0661026750000001,-2.14594411090744,-2.83379488618857,"JARI1","gm",5,1,4570,24,0.346573590279973,0.5,0,0,6,2285,41.48,-71.52,20.7,NA,NA,NA,NA,1,3,"",NA,NA,NA,1.04605043263313e-06,2,NA,NA,NA,NA,NA,NA,1,"1",0,NA,NA,0,-2.25799357381994,-0.0306121688307215,NA,NA,-6.17822124799305,1.50689166973188,0
"34","a|JBBLB2-1-20|Q|194",-2.00240126353828,0.12724143,-1.93258631968074,-2.48191841455185,"JBBLB2","m",1,1,8811,NA,1.86883480914168,0,0.693147180559945,0,4,4405.5,38.90765,-75.05181667,0,5,1,2,2,1,5,"",4512,NA,0.899999999999999,9.40706940766221e-07,2,86,36.5,2,10,2,0.5,1,"0",1,1,1,NA,-2.00832896014776,0.746616537631911,-2.92885249284565,NA,-5.92855663432087,2.28412037619451,NA
"35","a|JBBLB2-1-20|Q|195",-1.27889694861535,0.1001152325,NA,NA,"JBBLB2","m",10,2,4884,NA,0.346573590279973,0,0.972955074527657,2.77258872223978,4,2442,38.90765,-75.05181667,0,119,7,24,24,4,5,"",1358,3.41,0.44,5.67141637591414e-07,2,77,22,2,80,2,0.5,1,"0",1,1,1,3.46,NA,NA,1.07521771683955,1.6652332361516,NA,NA,5.94514407684098
"36","a|JBBLB2-1-20|Q|198",-2.58649661624258,0.07124139,-2.32346187602099,-2.05756915420795,"JBBLB2","m",8,4,3500,NA,0,0,0,0,1,2800,38.90765,-75.05181667,0,NA,NA,NA,NA,1,5,"",8740,NA,1.1,5.17448512008626e-07,1,92,47,4,99,4,0.75,1,"0",0,1,1,0,-3.92022767417311,0.746486535733242,NA,NA,-7.84045534834622,2.28399037429584,0
"37","a|JBBLB2-1-20|Q|199",-1.03572210573641,0.1188136,-2.02374569829907,-2.40045952378617,"JBBLB2","m",13,2,7054,NA,0.346573590279973,1.5,0.346573590279973,1.38629436111989,6,2377,38.90765,-75.05181667,0,74,17,28,29,2,3,"",2886,4.81,0.399999999999999,1.16408423168643e-06,2,57,38,2,67,2,0,1,"1",1,1,1,4.86,-0.610746298153912,-1.05792531439848,1.76352109969385,2.34890670553936,-4.53097397232702,0.479578524164123,8.35069370330843
"38","a|JWBOY-2-80|Q|251",-0.888305291561856,0.1356562975,-1.53362709410949,-2.18045323633496,"JWBOY1","gm",9,1,8992,29,2.00366659261624,0,0,0.693147180559945,5,2252,39.061684,-78.074413,250.9,NA,NA,NA,NA,2,1,"",NA,0.0299999999999994,NA,4.56888341822462e-07,2,NA,NA,NA,NA,NA,NA,1,"0",1,NA,NA,0.0799999999999994,0.808802176478042,-0.10064725846811,NA,0.0146501457725945,-3.11142549769507,1.43685658009449,0.137459978655282
"39","a|JWBOY-2-80|Q|257",-1.09865856023818,0.1138502975,-1.81528011843414,-2.5813905099713,"JWBOY1","m",2,2,9971,NA,0,0,0,0,3,3335.5,39.061684,-78.074413,250.9,NA,NA,NA,NA,1,2,"",2878,NA,0.74,1.0873211819245e-06,2,85,33,2,87,2,1,1,"0",0,1,1,0,-0.216961191713856,-0.445196442394272,NA,NA,-4.13718886588697,1.09230739616833,0
"40","a|KVEDG1-1-80|Q|272",-1.57817451448508,0.0834532975,-1.90704908976199,-2.38329721397716,"KVEDG1","a",8,4,9950,NA,0,4,1.15129254649702,0,4,3087,39.435278,-76.288333,2,NA,NA,NA,NA,2,2,"",NA,NA,NA,6.32871839175737e-07,2,NA,NA,NA,NA,NA,NA,1,"1",0,NA,NA,0,-1.23811830843271,0.114963402539346,NA,NA,-5.15834598260582,1.65246724110195,0
"41","a|KVEDG1-1-80|Q|273",NA,NA,NA,NA,"KVEDG1","a",9,4,10523,NA,0.895879734614027,3,0.346573590279973,0,4,3344,39.435278,-76.288333,2,50,8,14,12,4,4,"",NA,1.44,NA,5.1755745347686e-07,2,NA,NA,NA,NA,NA,NA,1,"1",1,NA,NA,1.49,NA,NA,-0.78484267104226,0.703206997084548,NA,NA,2.56019210245464
